location,date,rain,temperature
Bergen,1985-03-29,0,7.61
Bergen,1985-03-30,0,6.96
Bergen,1985-03-31,0,6.96
Bergen,1985-04-01,0,6.8
Bergen,1985-04-02,0,8.12
Bergen,1985-04-03,0,9.84
Bergen,1985-04-04,0,9.84
Bergen,1985-04-05,0,13.58
Bergen,1985-04-06,0,13.58
Bergen,1985-04-07,0,13.12
Bergen,1985-04-08,0,0.0
Bergen,1985-04-09,0,7.42
Bergen,1985-04-10,0,7.42
Bergen,1985-04-11,0,8.42
Bergen,1985-04-12,0,9.84
Bergen,1985-04-13,0,9.66
Bergen,1985-04-14,0,9.66
Bergen,1985-04-15,0,10.99
Bergen,1985-04-16,0,13.05
Bergen,1985-04-17,0,13.1
Bergen,1985-04-18,0,0.0
Bergen,1985-04-19,0,6.53
Bergen,1985-04-20,0,6.74
Bergen,1985-04-21,0,6.74
Bergen,1985-04-22,0,10.96
Bergen,1985-04-23,0,10.96
Bergen,1985-04-24,0,9.49
Bergen,1985-04-25,0,12.52
Bergen,1985-04-26,0,12.34
Bergen,1985-04-27,0,13.67
Bergen,1985-04-28,0,6.68
Bergen,1985-04-29,0,6.68
Bergen,1985-04-30,0,6.11
Bergen,1985-05-01,0,5.51
Bergen,1985-05-02,0,6.25
Bergen,1985-05-03,0,6.25
Bergen,1985-05-04,0,10.43
Bergen,1985-05-05,0,10.43
Bergen,1985-05-06,0,12.19
Bergen,1985-05-07,0,14.44
Bergen,1985-05-08,0,5.81
Bergen,1985-05-09,0,7.32
Bergen,1985-05-10,0,7.32
Bergen,1985-05-11,0,7.48
Bergen,1985-05-12,0,6.68
Bergen,1985-05-13,0,10.0
Bergen,1985-05-14,0,9.66
Bergen,1985-05-15,0,11.67
Bergen,1985-05-16,0,13.0
Bergen,1985-05-17,0,15.09
Bergen,1985-06-27,0,5.94
Bergen,1985-06-28,0,5.94
Bergen,1985-06-29,0,7.19
Bergen,1985-06-30,0,9.32
Bergen,1985-07-01,0,9.32
Bergen,1985-07-02,0,9.36
Bergen,1985-07-03,0,9.36
Bergen,1985-07-04,0,9.16
Bergen,1985-07-05,0,9.81
Bergen,1985-07-06,0,13.79
Bergen,1985-07-07,0,0.0
Bergen,1985-07-08,0,6.98
Bergen,1985-07-09,0,6.22
Bergen,1985-07-10,0,6.22
Bergen,1985-07-11,0,8.57
Bergen,1985-07-12,0,10.71
Bergen,1985-07-13,0,12.49
Bergen,1985-07-14,0,12.49
Bergen,1985-07-15,0,11.86
Bergen,1985-07-16,0,11.02
Bergen,1985-07-17,0,0.0
Bergen,1985-07-18,0,7.94
Bergen,1985-07-19,0,7.08
Bergen,1985-07-20,0,7.08
Bergen,1985-07-21,0,7.26
Bergen,1985-07-22,0,9.15
Bergen,1985-07-23,0,10.84
Bergen,1985-07-24,0,10.84
Bergen,1985-07-25,0,12.37
Bergen,1985-07-26,0,12.37
Bergen,1985-07-27,0,8.04
Bergen,1985-07-28,0,6.94
Bergen,1985-07-29,0,6.76
Bergen,1985-07-30,0,7.74
Bergen,1985-07-31,0,10.32
Bergen,1985-08-01,0,9.49
Bergen,1985-08-02,0,9.49
Bergen,1985-08-03,0,10.89
Bergen,1985-08-04,0,12.78
Bergen,1985-08-05,0,12.58
Bergen,1985-08-06,0,0.0
Bergen,1985-08-07,0,7.54
Bergen,1985-08-08,0,5.28
Bergen,1985-08-09,0,7.26
Bergen,1985-08-10,0,8.43
Bergen,1985-08-11,0,8.74
Bergen,1985-08-12,0,11.51
Bergen,1985-08-13,0,12.17
Bergen,1985-08-14,0,11.78
Bergen,1985-08-15,0,14.64
Bergen,1985-08-26,0,0.0
Bergen,1985-08-27,0,6.12
Bergen,1985-08-28,0,6.12
Bergen,1985-08-29,0,7.49
Bergen,1985-08-30,0,7.49
Bergen,1985-08-31,0,9.88
Bergen,1985-09-01,0,10.94
Bergen,1985-09-02,0,10.94
Bergen,1985-09-03,0,11.73
Bergen,1985-09-04,0,14.16
Bergen,1985-09-05,0,0.0
Bergen,1985-09-06,0,6.79
Bergen,1985-09-07,0,7.36
Bergen,1985-09-08,0,7.64
Bergen,1985-09-09,0,7.64
Bergen,1985-09-10,0,7.93
Bergen,1985-09-11,0,11.37
Bergen,1985-09-12,0,11.37
Bergen,1985-09-13,0,12.71
Bergen,1985-09-14,0,13.48
Bergen,1985-09-15,0,0.0
Bergen,1985-09-16,0,7.31
Bergen,1985-09-17,0,8.41
Bergen,1985-09-18,0,8.41
Bergen,1985-09-19,0,9.48
Bergen,1985-09-20,0,9.48
Bergen,1985-09-21,0,9.17
Bergen,1985-09-22,0,11.86
Bergen,1985-09-23,0,13.03
Bergen,1985-09-24,0,13.28
Bergen,1985-09-25,0,0.0
Bergen,1985-09-26,0,7.31
Bergen,1985-09-27,0,8.16
Bergen,1985-09-28,0,5.84
Bergen,1985-09-29,0,9.72
Bergen,1985-09-30,0,12.02
Bergen,1985-10-01,0,12.02
Bergen,1985-10-02,0,12.32
Bergen,1985-10-03,0,12.32
Bergen,1985-10-04,0,10.8
